,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
44,CU,CU3,2015/11/03,28,3105,5411345,7.15,000123-86-4,83.0,CU3-1103-28,8.17963819941,CU3-1103
45,CU,CU3,2015/11/03,29,3150,5923473,7.82,000541-05-9,90.0,CU3-1103-29,8.26992753623,CU3-1103
46,CU,CU3,2015/11/03,30,3262,49529,0.07,000538-44-3,43.0,CU3-1103-30,8.56823266219,CU3-1103
47,CU,CU3,2015/11/03,30,3262,49529,0.07,999059-38-4,50.0,CU3-1103-30,8.56823266219,CU3-1103
48,CU,CU3,2015/11/03,30,3262,49529,0.07,025695-77-6,43.0,CU3-1103-30,8.56823266219,CU3-1103
49,CU,CU3,2015/11/03,31,3404,64911,0.09,000544-10-5,42.0,CU3-1103-31,9.23248407643,CU3-1103
50,CU,CU3,2015/11/03,32,3446,95171,0.13,000100-41-4,93.0,CU3-1103-32,9.55373406193,CU3-1103
51,CU,CU3,2015/11/03,33,3506,742530,0.98,001330-20-7,92.0,CU3-1103-33,10.2082379863,CU3-1103
52,CU,CU3,2015/11/03,33,3506,742530,0.98,000106-42-3,92.0,CU3-1103-33,10.2082379863,CU3-1103
53,CU,CU3,2015/11/03,33,3506,742530,0.98,000095-47-6,92.0,CU3-1103-33,10.2082379863,CU3-1103
54,CU,CU3,2015/11/03,34,3595,20582126,27.18,000624-41-9,83.0,CU3-1103-34,12.1925925926,CU3-1103
55,CU,CU3,2015/11/03,35,3643,52720,0.07,000624-41-9,22.0,CU3-1103-35,14.7888888889,CU3-1103
56,CU,CU3,2015/11/03,35,3643,52720,0.07,000123-92-2,22.0,CU3-1103-35,14.7888888889,CU3-1103
57,CU,CU3,2015/11/03,36,3681,98682,0.13,000100-42-5,93.0,CU3-1103-36,19.9216589862,CU3-1103
58,CU,CU3,2015/11/03,36,3681,98682,0.13,000694-87-1,93.0,CU3-1103-36,19.9216589862,CU3-1103
